revid	title	toclevel	index	indexInverse	bytes	date	titlesNumber	main category	second category	anchor
28268652	Safety	1	5	6	1732	14/11/05 04:31	11	safety	neutral	Safety
28268652	Medical use	2	4	7	676	14/11/05 04:31	11	uses	positive	Medical_use
28271461	Effects	1	5	14	12	14/11/05 05:09	19	effects	neutral	Effects
28271461	Other short-term effects	2	7	12	1427	14/11/05 05:09	19	effects	neutral	Other_short-term_effects
28271461	Neurological effects	2	6	13	651	14/11/05 05:09	19	effects	neutral	Neurological_effects
28271461	Systemic effects	2	9	10	337	14/11/05 05:09	19	effects	neutral	Systemic_effects
28271461	Long-term effects	2	8	11	5043	14/11/05 05:09	19	effects	neutral	Long-term_effects
28271461	Safety	1	13	6	1732	14/11/05 05:09	19	safety	neutral	Safety
28271461	Medical use	2	12	7	676	14/11/05 05:09	19	uses	positive	Medical_use
33618142	Effects	1	6	14	12	02/01/06 18:11	20	effects	neutral	Effects
33618142	Other short-term effects	2	8	12	1190	02/01/06 18:11	20	effects	neutral	Other_short-term_effects
33618142	Systemic effects	2	10	10	368	02/01/06 18:11	20	effects	neutral	Systemic_effects
33618142	Long-term effects	2	9	11	4810	02/01/06 18:11	20	effects	neutral	Long-term_effects
33618142	Safety	1	14	6	1450	02/01/06 18:11	20	safety	neutral	Safety
33618142	Medical use	2	13	7	676	02/01/06 18:11	20	uses	positive	Medical_use
35622575	Safety	1	8	6	1450	18/01/06 02:01	14	safety	neutral	Safety
35622575	Medical use	2	7	7	676	18/01/06 02:01	14	uses	positive	Medical_use
35622600	Effects	1	6	14	12	18/01/06 02:02	20	effects	neutral	Effects
35622600	Other short-term effects	2	8	12	1190	18/01/06 02:02	20	effects	neutral	Other_short-term_effects
35622600	Systemic effects	2	10	10	368	18/01/06 02:02	20	effects	neutral	Systemic_effects
35622600	Long-term effects	2	9	11	4810	18/01/06 02:02	20	effects	neutral	Long-term_effects
35622600	Safety	1	14	6	1450	18/01/06 02:02	20	safety	neutral	Safety
35622600	Medical use	2	13	7	676	18/01/06 02:02	20	uses	positive	Medical_use
44710199	Effects	1	6	13	12	20/03/06 21:07	19	effects	neutral	Effects
44710199	Other short-term effects	2	8	11	1396	20/03/06 21:07	19	effects	neutral	Other_short-term_effects
44710199	Systemic effects	2	9	10	886	20/03/06 21:07	19	effects	neutral	Systemic_effects
44710199	Safety	1	13	6	2002	20/03/06 21:07	19	safety	neutral	Safety
44710199	Medical use	2	12	7	676	20/03/06 21:07	19	uses	positive	Medical_use
44710278	Effects	1	6	14	12	20/03/06 21:08	20	effects	neutral	Effects
44710278	Other short-term effects	2	8	12	1394	20/03/06 21:08	20	effects	neutral	Other_short-term_effects
44710278	Systemic effects	2	10	10	886	20/03/06 21:08	20	effects	neutral	Systemic_effects
44710278	Long-term effects	2	9	11	4837	20/03/06 21:08	20	effects	neutral	Long-term_effects
44710278	Safety	1	14	6	2002	20/03/06 21:08	20	safety	neutral	Safety
44710278	Medical use	2	13	7	676	20/03/06 21:08	20	uses	positive	Medical_use
49372594	Effects	1	6	14	12	21/04/06 00:46	20	effects	neutral	Effects
49372594	Other short-term effects	2	8	12	1396	21/04/06 00:46	20	effects	neutral	Other_short-term_effects
49372594	Systemic effects	2	10	10	854	21/04/06 00:46	20	effects	neutral	Systemic_effects
49372594	Safety	1	14	6	2002	21/04/06 00:46	20	safety	neutral	Safety
49372594	Medical use	2	13	7	676	21/04/06 00:46	20	uses	positive	Medical_use
49372619	Effects	1	6	14	12	21/04/06 00:47	20	effects	neutral	Effects
49372619	Other short-term effects	2	8	12	1396	21/04/06 00:47	20	effects	neutral	Other_short-term_effects
49372619	Systemic effects	2	10	10	854	21/04/06 00:47	20	effects	neutral	Systemic_effects
49372619	Long-term effects	2	9	11	8646	21/04/06 00:47	20	effects	neutral	Long-term_effects
49372619	Safety	1	14	6	2002	21/04/06 00:47	20	safety	neutral	Safety
49372619	Medical use	2	13	7	676	21/04/06 00:47	20	uses	positive	Medical_use
51850037	Effects	1	4	15	13	06/05/06 17:00	19	effects	neutral	Effects
51850037	Other short-term effects	2	7	12	1397	06/05/06 17:00	19	effects	neutral	Other_short-term_effects
51850037	Systemic effects	2	9	10	915	06/05/06 17:00	19	effects	neutral	Systemic_effects
51850037	Long-term effects	2	8	11	8649	06/05/06 17:00	19	effects	neutral	Long-term_effects
51850037	Safety	1	13	6	2010	06/05/06 17:00	19	safety	neutral	Safety
51850037	Medical use	2	12	7	676	06/05/06 17:00	19	uses	positive	Medical_use
51850037	Positive Effects that Users Seek	2	5	14	1177	06/05/06 17:00	19	effects	positive	Positive_Effects_that_Users_Seek
51961631	Effects	1	4	15	13	07/05/06 10:12	19	effects	neutral	Effects
51961631	Other short-term effects	2	7	12	1397	07/05/06 10:12	19	effects	neutral	Other_short-term_effects
51961631	Systemic effects	2	9	10	915	07/05/06 10:12	19	effects	neutral	Systemic_effects
51961631	Long-term effects	2	8	11	9239	07/05/06 10:12	19	effects	neutral	Long-term_effects
51961631	Safety	1	13	6	2010	07/05/06 10:12	19	safety	neutral	Safety
51961631	Medical use	2	12	7	676	07/05/06 10:12	19	uses	positive	Medical_use
51961631	Positive effects sought by users	2	5	14	1177	07/05/06 10:12	19	effects	positive	Positive_effects_sought_by_users
59315933	Effects	1	4	16	12	18/06/06 19:33	20	effects	neutral	Effects
59315933	Other short-term effects	2	8	12	1674	18/06/06 19:33	20	effects	neutral	Other_short-term_effects
59315933	Systemic effects	2	10	10	1354	18/06/06 19:33	20	effects	neutral	Systemic_effects
59315933	Long-term effects	2	9	11	9233	18/06/06 19:33	20	effects	neutral	Long-term_effects
59315933	Medical use	2	13	7	676	18/06/06 19:33	20	uses	positive	Medical_use
59315933	Positive effects sought by users	2	5	15	1496	18/06/06 19:33	20	effects	positive	Positive_effects_sought_by_users
59315933	Safety and contradictions	1	14	6	2164	18/06/06 19:33	20	safety	neutral	Safety_and_contradictions
60348132	Effects	1	4	17	12	24/06/06 15:49	21	effects	neutral	Effects
60348132	Subjective effects	2	8	13	1171	24/06/06 15:49	21	effects	neutral	Subjective_effects
60348132	Other short-term effects	2	9	12	3386	24/06/06 15:49	21	effects	neutral	Other_short-term_effects
60348132	Systemic effects	2	11	10	1354	24/06/06 15:49	21	effects	neutral	Systemic_effects
60348132	Long-term effects	2	10	11	8541	24/06/06 15:49	21	effects	neutral	Long-term_effects
60348132	Medical use	2	14	7	848	24/06/06 15:49	21	uses	positive	Medical_use
60348132	Positive effects sought by users	2	5	16	1444	24/06/06 15:49	21	effects	positive	Positive_effects_sought_by_users
60348132	Safety and contradictions	1	15	6	2219	24/06/06 15:49	21	safety	neutral	Safety_and_contradictions
60348246	Effects	1	4	16	13	24/06/06 15:49	20	effects	neutral	Effects
60348246	Subjective effects	2	7	13	1171	24/06/06 15:49	20	effects	neutral	Subjective_effects
60348246	Other short-term effects	2	8	12	3386	24/06/06 15:49	20	effects	neutral	Other_short-term_effects
60348246	Systemic effects	2	10	10	1354	24/06/06 15:49	20	effects	neutral	Systemic_effects
60348246	Long-term effects	2	9	11	8541	24/06/06 15:49	20	effects	neutral	Long-term_effects
60348246	Medical use	2	13	7	848	24/06/06 15:49	20	uses	positive	Medical_use
60348246	Safety and contradictions	1	14	6	2219	24/06/06 15:49	20	safety	neutral	Safety_and_contradictions
60348246	Acute Neurochemical Effects	2	6	14	872	24/06/06 15:49	20	effects	neutral	Acute_Neurochemical_Effects
60349229	Effects	1	4	16	13	24/06/06 15:57	20	effects	neutral	Effects
60349229	Short-term neurochemical effects	2	6	14	877	24/06/06 15:57	20	effects	neutral	Short-term_neurochemical_effects
60349229	Subjective effects	2	7	13	1072	24/06/06 15:57	20	effects	neutral	Subjective_effects
60349229	Other short-term effects	2	8	12	668	24/06/06 15:57	20	effects	neutral	Other_short-term_effects
60349229	Long-term adverse effects	2	10	10	8548	24/06/06 15:57	20	effects	negative	Long-term_adverse_effects
60349229	Medical use	2	13	7	848	24/06/06 15:57	20	uses	positive	Medical_use
60349229	Safety and contradictions	1	14	6	2219	24/06/06 15:57	20	safety	neutral	Safety_and_contradictions
60349229	Acute toxic (dangerous) effects	2	9	11	3563	24/06/06 15:57	20	effects	negative	Acute_toxic_.28dangerous.29_effects
60350024	Effects	1	4	16	13	24/06/06 16:03	20	effects	neutral	Effects
60350024	Short-term neurochemical effects	2	6	14	877	24/06/06 16:03	20	effects	neutral	Short-term_neurochemical_effects
60350024	Subjective effects	2	7	13	1072	24/06/06 16:03	20	effects	neutral	Subjective_effects
60350024	Other short-term effects	2	8	12	668	24/06/06 16:03	20	effects	neutral	Other_short-term_effects
60350024	Long-term adverse effects	2	10	10	8548	24/06/06 16:03	20	effects	negative	Long-term_adverse_effects
60350024	Medical use and clinical studies	2	13	7	869	24/06/06 16:03	20	uses	positive	Medical_use_and_clinical_studies
60350024	Safety and contradictions	1	14	6	2375	24/06/06 16:03	20	safety	neutral	Safety_and_contradictions
60350024	Acute toxic (dangerous) effects	2	9	11	3563	24/06/06 16:03	20	effects	negative	Acute_toxic_.28dangerous.29_effects
61606045	Effects	1	4	17	13	01/07/06 23:16	21	effects	neutral	Effects
61606045	Short-term neurochemical effects	2	6	15	877	01/07/06 23:16	21	effects	neutral	Short-term_neurochemical_effects
61606045	Subjective effects	2	7	14	1051	01/07/06 23:16	21	effects	neutral	Subjective_effects
61606045	Other short-term effects	2	8	13	668	01/07/06 23:16	21	effects	neutral	Other_short-term_effects
61606045	Addiction and Tolerance	2	10	11	524	01/07/06 23:16	21	effects	negative	Addiction_and_Tolerance
61606045	Long-term adverse effects	2	11	10	8548	01/07/06 23:16	21	effects	negative	Long-term_adverse_effects
61606045	Medical use and clinical studies	2	14	7	869	01/07/06 23:16	21	uses	positive	Medical_use_and_clinical_studies
61606045	Safety and contradictions	1	15	6	2375	01/07/06 23:16	21	safety	neutral	Safety_and_contradictions
61606045	Acute toxic (dangerous) effects	2	9	12	3563	01/07/06 23:16	21	effects	negative	Acute_toxic_.28dangerous.29_effects
63811692	Effects	1	4	17	12	14/07/06 17:12	21	effects	neutral	Effects
63811692	Short-term neurochemical effects	2	6	15	869	14/07/06 17:12	21	effects	neutral	Short-term_neurochemical_effects
63811692	Subjective effects	2	7	14	1051	14/07/06 17:12	21	effects	neutral	Subjective_effects
63811692	Other short-term effects	2	8	13	780	14/07/06 17:12	21	effects	neutral	Other_short-term_effects
63811692	Addiction and Tolerance	2	10	11	1299	14/07/06 17:12	21	effects	negative	Addiction_and_Tolerance
63811692	Long-term adverse effects	2	11	10	8548	14/07/06 17:12	21	effects	negative	Long-term_adverse_effects
63811692	Medical use and clinical studies	2	14	7	869	14/07/06 17:12	21	uses	positive	Medical_use_and_clinical_studies
63811692	Safety and contraindications	1	15	6	2378	14/07/06 17:12	21	safety	neutral	Safety_and_contraindications
63811692	Acute toxic (dangerous) effects	2	9	12	3562	14/07/06 17:12	21	effects	negative	Acute_toxic_.28dangerous.29_effects
63987291	Effects	1	4	17	12	15/07/06 18:19	21	effects	neutral	Effects
63987291	Short-term neurochemical effects	2	6	15	869	15/07/06 18:19	21	effects	neutral	Short-term_neurochemical_effects
63987291	Subjective effects	2	7	14	1051	15/07/06 18:19	21	effects	neutral	Subjective_effects
63987291	Other short-term effects	2	8	13	780	15/07/06 18:19	21	effects	neutral	Other_short-term_effects
63987291	Addiction and Tolerance	2	10	11	10714	15/07/06 18:19	21	effects	negative	Addiction_and_Tolerance
63987291	Medical use and clinical studies	2	13	8	869	15/07/06 18:19	21	uses	positive	Medical_use_and_clinical_studies
63987291	Safety and contraindications	1	14	7	2378	15/07/06 18:19	21	safety	neutral	Safety_and_contraindications
63987291	Acute toxic (dangerous) effects	2	9	12	3562	15/07/06 18:19	21	effects	negative	Acute_toxic_.28dangerous.29_effects
64000969	Effects	1	4	18	12	15/07/06 19:48	22	effects	neutral	Effects
64000969	Short-term neurochemical effects	2	6	16	869	15/07/06 19:48	22	effects	neutral	Short-term_neurochemical_effects
64000969	Subjective effects	2	7	15	1051	15/07/06 19:48	22	effects	neutral	Subjective_effects
64000969	Other short-term effects	2	8	14	780	15/07/06 19:48	22	effects	neutral	Other_short-term_effects
64000969	Addiction and Tolerance	2	10	12	1299	15/07/06 19:48	22	effects	negative	Addiction_and_Tolerance
64000969	Long-term adverse effects	2	11	11	9355	15/07/06 19:48	22	effects	negative	Long-term_adverse_effects
64000969	Medical use and clinical studies	2	14	8	869	15/07/06 19:48	22	uses	positive	Medical_use_and_clinical_studies
64000969	Safety and contraindications	1	15	7	2378	15/07/06 19:48	22	safety	neutral	Safety_and_contraindications
64000969	Acute toxic (dangerous) effects	2	9	13	3562	15/07/06 19:48	22	effects	negative	Acute_toxic_.28dangerous.29_effects
66680160	Effects	1	4	17	12	30/07/06 13:15	21	effects	neutral	Effects
66680160	Short-term neurochemical effects	2	6	15	894	30/07/06 13:15	21	effects	neutral	Short-term_neurochemical_effects
66680160	Subjective effects	2	7	14	1051	30/07/06 13:15	21	effects	neutral	Subjective_effects
66680160	Other short-term effects	2	8	13	4430	30/07/06 13:15	21	effects	neutral	Other_short-term_effects
66680160	Addiction and Tolerance	2	9	12	1302	30/07/06 13:15	21	effects	negative	Addiction_and_Tolerance
66680160	Long-term adverse effects	2	10	11	9335	30/07/06 13:15	21	effects	negative	Long-term_adverse_effects
66680160	Medical use and clinical studies	2	13	8	869	30/07/06 13:15	21	uses	positive	Medical_use_and_clinical_studies
66680160	Safety and contraindications	1	14	7	2378	30/07/06 13:15	21	safety	neutral	Safety_and_contraindications
66683631	Effects	1	4	18	12	30/07/06 13:53	22	effects	neutral	Effects
66683631	Short-term neurochemical effects	2	6	16	894	30/07/06 13:53	22	effects	neutral	Short-term_neurochemical_effects
66683631	Subjective effects	2	7	15	1051	30/07/06 13:53	22	effects	neutral	Subjective_effects
66683631	Other short-term effects	2	8	14	815	30/07/06 13:53	22	effects	neutral	Other_short-term_effects
66683631	Acute toxic/dangerous effects	2	9	13	3590	30/07/06 13:53	22	effects	negative	Acute_toxic.2Fdangerous_effects
66683631	Addiction and Tolerance	2	10	12	1302	30/07/06 13:53	22	effects	negative	Addiction_and_Tolerance
66683631	Long-term adverse effects	2	11	11	9335	30/07/06 13:53	22	effects	negative	Long-term_adverse_effects
66683631	Medical use and clinical studies	2	14	8	869	30/07/06 13:53	22	uses	positive	Medical_use_and_clinical_studies
66683631	Safety and contraindications	1	15	7	2378	30/07/06 13:53	22	safety	neutral	Safety_and_contraindications
69644415	Effects	1	4	17	12	14/08/06 19:39	21	effects	neutral	Effects
69644415	Short-term neurochemical effects	2	6	15	903	14/08/06 19:39	21	effects	neutral	Short-term_neurochemical_effects
69644415	Other short-term effects	2	7	14	779	14/08/06 19:39	21	effects	neutral	Other_short-term_effects
69644415	Acute toxic/dangerous effects	2	8	13	4042	14/08/06 19:39	21	effects	negative	Acute_toxic.2Fdangerous_effects
69644415	Addiction and Tolerance	2	9	12	1302	14/08/06 19:39	21	effects	negative	Addiction_and_Tolerance
69644415	Long-term adverse effects	2	10	11	8713	14/08/06 19:39	21	effects	negative	Long-term_adverse_effects
69644415	Medical use and clinical studies	2	13	8	869	14/08/06 19:39	21	uses	positive	Medical_use_and_clinical_studies
69644415	Safety and contraindications	1	14	7	2378	14/08/06 19:39	21	safety	neutral	Safety_and_contraindications
69645872	Effects	1	4	18	12	14/08/06 19:47	22	effects	neutral	Effects
69645872	Short-term neurochemical effects	2	6	16	894	14/08/06 19:47	22	effects	neutral	Short-term_neurochemical_effects
69645872	Subjective effects	2	7	15	1039	14/08/06 19:47	22	effects	neutral	Subjective_effects
69645872	Other short-term effects	2	8	14	779	14/08/06 19:47	22	effects	neutral	Other_short-term_effects
69645872	Acute toxic/dangerous effects	2	9	13	4042	14/08/06 19:47	22	effects	negative	Acute_toxic.2Fdangerous_effects
69645872	Addiction and Tolerance	2	10	12	1302	14/08/06 19:47	22	effects	negative	Addiction_and_Tolerance
69645872	Long-term adverse effects	2	11	11	9103	14/08/06 19:47	22	effects	negative	Long-term_adverse_effects
69645872	Medical use and clinical studies	2	14	8	869	14/08/06 19:47	22	uses	positive	Medical_use_and_clinical_studies
69645872	Safety and contraindications	1	15	7	2378	14/08/06 19:47	22	safety	neutral	Safety_and_contraindications
75797589	Medical use and clinical studies	2	5	8	869	15/09/06 00:29	13	uses	positive	Medical_use_and_clinical_studies
75797589	Safety and contraindications	1	6	7	2466	15/09/06 00:29	13	safety	neutral	Safety_and_contraindications
75797595	Effects	1	4	18	12	15/09/06 00:29	22	effects	neutral	Effects
75797595	Short-term neurochemical effects	2	6	16	894	15/09/06 00:29	22	effects	neutral	Short-term_neurochemical_effects
75797595	Subjective effects	2	7	15	1039	15/09/06 00:29	22	effects	neutral	Subjective_effects
75797595	Other short-term effects	2	8	14	228	15/09/06 00:29	22	effects	neutral	Other_short-term_effects
75797595	Acute toxic/dangerous effects	2	9	13	4563	15/09/06 00:29	22	effects	negative	Acute_toxic.2Fdangerous_effects
75797595	Addiction and Tolerance	2	10	12	1302	15/09/06 00:29	22	effects	negative	Addiction_and_Tolerance
75797595	Long-term adverse effects	2	11	11	9963	15/09/06 00:29	22	effects	negative	Long-term_adverse_effects
75797595	Medical use and clinical studies	2	14	8	869	15/09/06 00:29	22	uses	positive	Medical_use_and_clinical_studies
75797595	Safety and contraindications	1	15	7	2466	15/09/06 00:29	22	safety	neutral	Safety_and_contraindications
81955375	Effects	1	4	17	12	17/10/06 07:43	21	effects	neutral	Effects
81955375	Short-term neurochemical effects	2	6	15	2168	17/10/06 07:43	21	effects	neutral	Short-term_neurochemical_effects
81955375	Other short-term effects	2	7	14	274	17/10/06 07:43	21	effects	neutral	Other_short-term_effects
81955375	Acute toxic/dangerous effects	2	8	13	4581	17/10/06 07:43	21	effects	negative	Acute_toxic.2Fdangerous_effects
81955375	Addiction and Tolerance	2	9	12	1392	17/10/06 07:43	21	effects	negative	Addiction_and_Tolerance
81955375	Long-term adverse effects	2	10	11	9217	17/10/06 07:43	21	effects	negative	Long-term_adverse_effects
81955375	Medical use and clinical studies	2	13	8	869	17/10/06 07:43	21	uses	positive	Medical_use_and_clinical_studies
81955375	Safety and contraindications	1	14	7	2843	17/10/06 07:43	21	safety	neutral	Safety_and_contraindications
81980200	Effects	1	4	18	12	17/10/06 12:00	22	effects	neutral	Effects
81980200	Short-term neurochemical effects	2	6	16	894	17/10/06 12:00	22	effects	neutral	Short-term_neurochemical_effects
81980200	Subjective effects	2	7	15	1014	17/10/06 12:00	22	effects	neutral	Subjective_effects
81980200	Other short-term effects	2	8	14	274	17/10/06 12:00	22	effects	neutral	Other_short-term_effects
81980200	Acute toxic/dangerous effects	2	9	13	4581	17/10/06 12:00	22	effects	negative	Acute_toxic.2Fdangerous_effects
81980200	Addiction and Tolerance	2	10	12	1392	17/10/06 12:00	22	effects	negative	Addiction_and_Tolerance
81980200	Long-term adverse effects	2	11	11	9217	17/10/06 12:00	22	effects	negative	Long-term_adverse_effects
81980200	Medical use and clinical studies	2	14	8	869	17/10/06 12:00	22	uses	positive	Medical_use_and_clinical_studies
81980200	Safety and contraindications	1	15	7	2843	17/10/06 12:00	22	safety	neutral	Safety_and_contraindications
82016210	Short-term neurochemical effects	2	4	16	894	17/10/06 16:11	20	effects	neutral	Short-term_neurochemical_effects
82016210	Subjective effects	2	5	15	1014	17/10/06 16:11	20	effects	neutral	Subjective_effects
82016210	Other short-term effects	2	6	14	274	17/10/06 16:11	20	effects	neutral	Other_short-term_effects
82016210	Acute toxic/dangerous effects	2	7	13	4581	17/10/06 16:11	20	effects	negative	Acute_toxic.2Fdangerous_effects
82016210	Addiction and Tolerance	2	8	12	1392	17/10/06 16:11	20	effects	negative	Addiction_and_Tolerance
82016210	Long-term adverse effects	2	9	11	9217	17/10/06 16:11	20	effects	negative	Long-term_adverse_effects
82016210	Medical use and clinical studies	2	12	8	869	17/10/06 16:11	20	uses	positive	Medical_use_and_clinical_studies
82016210	Safety and contraindications	1	13	7	2843	17/10/06 16:11	20	safety	neutral	Safety_and_contraindications
82028467	Effects	1	4	18	12	17/10/06 17:22	22	effects	neutral	Effects
82028467	Short-term neurochemical effects	2	6	16	894	17/10/06 17:22	22	effects	neutral	Short-term_neurochemical_effects
82028467	Subjective effects	2	7	15	1014	17/10/06 17:22	22	effects	neutral	Subjective_effects
82028467	Other short-term effects	2	8	14	274	17/10/06 17:22	22	effects	neutral	Other_short-term_effects
82028467	Acute toxic/dangerous effects	2	9	13	4581	17/10/06 17:22	22	effects	negative	Acute_toxic.2Fdangerous_effects
82028467	Addiction and Tolerance	2	10	12	1392	17/10/06 17:22	22	effects	negative	Addiction_and_Tolerance
82028467	Long-term adverse effects	2	11	11	9217	17/10/06 17:22	22	effects	negative	Long-term_adverse_effects
82028467	Medical use and clinical studies	2	14	8	869	17/10/06 17:22	22	uses	positive	Medical_use_and_clinical_studies
82028467	Safety and contraindications	1	15	7	2843	17/10/06 17:22	22	safety	neutral	Safety_and_contraindications
82614775	Effects	1	4	19	12	20/10/06 12:52	23	effects	neutral	Effects
82614775	Short-term neurochemical effects	2	7	16	894	20/10/06 12:52	23	effects	neutral	Short-term_neurochemical_effects
82614775	Subjective effects	2	8	15	1014	20/10/06 12:52	23	effects	neutral	Subjective_effects
82614775	Other short-term effects	2	9	14	311	20/10/06 12:52	23	effects	neutral	Other_short-term_effects
82614775	Acute toxic/dangerous effects	2	10	13	4581	20/10/06 12:52	23	effects	negative	Acute_toxic.2Fdangerous_effects
82614775	Addiction and Tolerance	2	11	12	1392	20/10/06 12:52	23	effects	negative	Addiction_and_Tolerance
82614775	Long-term adverse effects	2	12	11	9217	20/10/06 12:52	23	effects	negative	Long-term_adverse_effects
82614775	Medical use and clinical studies	2	15	8	869	20/10/06 12:52	23	uses	positive	Medical_use_and_clinical_studies
82614775	Safety and contraindications	1	16	7	2844	20/10/06 12:52	23	safety	neutral	Safety_and_contraindications
82614775	Physical Effects	2	5	18	422	20/10/06 12:52	23	effects	neutral	Physical_Effects
82619238	Effects	1	4	18	12	20/10/06 13:26	22	effects	neutral	Effects
82619238	Short-term neurochemical effects	2	6	16	894	20/10/06 13:26	22	effects	neutral	Short-term_neurochemical_effects
82619238	Subjective effects	2	7	15	1014	20/10/06 13:26	22	effects	neutral	Subjective_effects
82619238	Other short-term effects	2	8	14	274	20/10/06 13:26	22	effects	neutral	Other_short-term_effects
82619238	Acute toxic/dangerous effects	2	9	13	4581	20/10/06 13:26	22	effects	negative	Acute_toxic.2Fdangerous_effects
82619238	Addiction and Tolerance	2	10	12	1392	20/10/06 13:26	22	effects	negative	Addiction_and_Tolerance
82619238	Long-term adverse effects	2	11	11	9217	20/10/06 13:26	22	effects	negative	Long-term_adverse_effects
82619238	Medical use and clinical studies	2	14	8	869	20/10/06 13:26	22	uses	positive	Medical_use_and_clinical_studies
82619238	Safety and contraindications	1	15	7	2844	20/10/06 13:26	22	safety	neutral	Safety_and_contraindications
85356356	Effects	1	4	17	12	02/11/06 23:03	21	effects	neutral	Effects
85356356	Short-term neurochemical effects	2	6	15	894	02/11/06 23:03	21	effects	neutral	Short-term_neurochemical_effects
85356356	Subjective effects	2	7	14	1014	02/11/06 23:03	21	effects	neutral	Subjective_effects
85356356	Other short-term effects	2	8	13	277	02/11/06 23:03	21	effects	neutral	Other_short-term_effects
85356356	Addiction and Tolerance	2	9	12	1392	02/11/06 23:03	21	effects	negative	Addiction_and_Tolerance
85356356	Long-term adverse effects	2	10	11	9217	02/11/06 23:03	21	effects	negative	Long-term_adverse_effects
85356356	Medical use and clinical studies	2	13	8	869	02/11/06 23:03	21	uses	positive	Medical_use_and_clinical_studies
85356356	Safety and contraindications	1	14	7	2866	02/11/06 23:03	21	safety	neutral	Safety_and_contraindications
85356452	Short-term neurochemical effects	2	4	15	894	02/11/06 23:03	19	effects	neutral	Short-term_neurochemical_effects
85356452	Subjective effects	2	5	14	1014	02/11/06 23:03	19	effects	neutral	Subjective_effects
